impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
mpi,cyclic,44000000,16,1,1,2661384,1.016054,0.107260,0.898189,0.010605,1.39,0.103253
mpi,cyclic,44000000,16,1,1,2661384,1.032239,0.134329,0.890613,0.007297,0.61,0.130522
mpi,cyclic,48000000,16,1,1,2888144,1.166956,0.129140,1.021884,0.015932,1.71,0.124746
mpi,cyclic,48000000,16,1,1,2888144,1.178633,0.162444,1.008320,0.007869,0.56,0.158163
mpi,cyclic,48000000,16,1,1,2888144,1.163975,0.147726,1.008780,0.007469,0.59,0.143386
mpi,cyclic,52000000,16,1,1,3113843,1.292585,0.146890,1.138483,0.007212,1.27,0.141803
mpi,cyclic,52000000,16,1,1,3113843,1.273696,0.125046,1.129029,0.019621,0.39,0.120264
mpi,cyclic,52000000,16,1,1,3113843,1.270007,0.134805,1.129585,0.005617,0.45,0.129676
mpi,cyclic,56000000,16,1,1,3338330,1.397168,0.134871,1.255281,0.007016,0.45,0.130425
mpi,cyclic,56000000,16,1,1,3338330,1.410410,0.144134,1.257733,0.008544,0.64,0.139564
mpi,cyclic,56000000,16,1,1,3338330,1.425208,0.158634,1.254661,0.011912,0.38,0.154038
mpi,cyclic,60000000,16,1,1,3562115,1.576656,0.184983,1.384438,0.007234,0.44,0.180388
mpi,cyclic,60000000,16,1,1,3562115,1.554119,0.154427,1.384683,0.015010,0.41,0.149916
mpi,cyclic,60000000,16,1,1,3562115,1.556819,0.159653,1.385032,0.012134,0.44,0.154974
mpi,cyclic,64000000,16,1,1,3785086,1.676326,0.150881,1.518221,0.007223,0.40,0.145922
mpi,cyclic,64000000,16,1,1,3785086,2.974304,0.167411,2.794693,0.012200,45.46,0.161909
mpi,cyclic,64000000,16,1,1,3785086,3.099068,0.148181,2.939930,0.010958,48.54,0.143177
mpi,cyclic,68000000,16,1,1,4007342,2.476832,0.153327,2.314292,0.009213,28.65,0.148162
mpi,cyclic,68000000,16,1,1,4007342,2.982712,0.162817,2.808674,0.011221,41.26,0.157195
mpi,cyclic,68000000,16,1,1,4007342,1.838922,0.171945,1.656367,0.010611,0.43,0.166141
mpi,cyclic,72000000,16,1,1,4228658,1.969458,0.166867,1.796782,0.005809,0.36,0.161247
mpi,cyclic,72000000,16,1,1,4228658,3.830955,0.196543,3.627657,0.006755,1.66,0.190839
mpi,cyclic,72000000,16,1,1,4228658,3.797298,0.223868,3.560804,0.012627,49.64,0.218169
